Root Name	Associated Name	Association Weight
Aaron	Abihu	8
Aaron	Benjamin	1
Aaron	David	1
Aaron	Eleazar	11
Aaron	Elisabeth	1
Aaron	Elisheba	1
Aaron	Hor	3
Aaron	Hur	3
Aaron	Israel	9
Aaron	Ithamar	6
Aaron	Judah	2
Aaron	Miriam	4
Aaron	Moses	14
Aaron	Naashon	1
Aaron	Nadab	8
Aaron	On	1
Aaron	Pharaoh	7
Aaron	Phinehas	1
Aaron	Simeon	1
Aaron	Sinai	1
Aaron	Zadok	1
Abagtha	Carcas	1
Abagtha	Zethar	1
Abana	Damascus	1
Abana	Pharpar	1
Abarim	Jericho	2
Abarim	Moab	2
Abarim	Nebo	2
Abda	Galal	1
Abda	Jeduthun	1
Abdi	Eliah	1
Abdi	Joah	1
Abdi	Malluch	1
Abdi	Zimmah	1
Abdiel	Guni	1
Abdon	Asaiah	1
Abdon	Baal	2
Abdon	Ephraim	1
Abdon	Hanan	1
Abdon	Hillel	2
Abdon	Kish	2
Abdon	Micah	1
Abdon	Nadab	1
Abdon	Ner	1
Abdon	Pirathon	1
Abdon	Zichri	1
Abdon	Zur	2
Abel	Cain	1
Abi	Zachariah	1
Abiah	Anathoth	1
Abiah	Ashur	1
Abiah	Beersheba	1
Abiah	Tekoa	1
Abiathar	Absalom	1
Abiathar	Adonijah	1
Abiathar	Ahimelech	1
Abiathar	Ahithophel	1
Abiathar	Asaiah	1
Abiathar	David	2
Abiathar	Doeg	1
Abiathar	Eli	1
Abiathar	Eliel	1
Abiathar	Joab	3
Abiathar	Joel	1
Abiathar	Saul	1
Abiathar	Shemaiah	1
Abiathar	Shiloh	1
Abiathar	Solomon	1
Abiathar	Uriel	1
Abiathar	Zeruiah	1
Abidah	Eldaah	1
Abidah	Keturah	1
Abidan	Gideoni	5
Abiel	Bechorath	1
Abiel	Zeror	1
Abiezer	Asriel	1
Abiezer	Helek	1
Abiezer	Hepher	1
Abiezer	Hushathite	1
Abiezer	Mebunnai	1
Abiezer	Shechem	1
Abigail	Abishai	1
Abigail	Absalom	1
Abigail	Amasa	1
Abigail	Asahel	1
Abigail	David	1
Abigail	Geshur	1
Abigail	Israel	1
Abigail	Jether	1
Abigail	Joab	1
Abigail	Nabal	3
Abigail	Nahash	1
Abigail	Talmai	1
Abihail	Buz	1
Abihail	Eliab	1
Abihail	Gilead	1
Abihail	Huri	1
Abihail	Jahdo	1
Abihail	Jeshishai	1
Abihail	Mordecai	1
Abihu	Aaron	1
Abihu	Eleazar	8
Abihu	Israel	1
Abihu	Ithamar	6
Abihu	Sinai	1
Abijah	Asa	1
Abijah	Attai	1
Abijah	David	1
Abijah	Ephraim	1
Abijah	Israel	1
Abijah	Jeroboam	4
Abijah	Maachah	1
Abijah	Mijamin	1
Abijah	Miniamin	1
Abijah	Zechariah	1
Abijah	Zemaraim	1
Abijah	Zichri	1
Abijah	Ziza	1
Abijam	Asa	1
Abijam	David	1
Abijam	Judah	1
Abimael	Sheba	2
Abimelech	Arumah	1
Abimelech	Dodo	1
Abimelech	Ebed	1
Abimelech	Ephraim	1
Abimelech	Gaal	2
Abimelech	Hamor	1
Abimelech	Hittite	1
Abimelech	Isaac	3
Abimelech	Israel	2
Abimelech	Issachar	1
Abimelech	Jerubbaal	1
Abimelech	Millo	1
Abimelech	Phichol	1
Abimelech	Philistines	1
Abimelech	Puah	1
Abimelech	Rebekah	1
Abimelech	Sarah	1
Abimelech	Shamir	1
Abimelech	Shechem	4
Abimelech	Thebez	1
Abimelech	Tola	1
Abimelech	Uriah	1
Abimelech	Zalmon	1
Abimelech	Zebul	2
Abinadab	Abi	1
Abinadab	Ahio	3
Abinadab	Dor	1
Abinadab	Gibeah	2
Abinadab	Samuel	1
Abinadab	Solomon	1
Abinadab	Taphath	1
Abinadab	Uzzah	1
Abinoam	Israel	1
Abinoam	Tabor	1
Abiram	Aaron	1
Abiram	Eliab	3
Abiram	Joshua	1
Abiram	Moses	1
Abiram	Nun	1
Abiram	On	1
Abiram	Segub	1
Abishag	Abiathar	1
Abishag	Adonijah	1
Abishag	Joab	1
Abishag	Zeruiah	1
Abishai	Abner	2
Abishai	Ammah	1
Abishai	Asahel	2
Abishai	Bichri	1
Abishai	David	1
Abishai	Giah	1
Abishai	Gibeon	2
Abishai	Jerusalem	1
Abishai	Joab	5
Abishai	Sheba	2
Abishai	Zeruiah	6
Abishua	Ahoah	1
Abishua	Bukki	1
Abishua	Eleazar	1
Abishua	Phinehas	1
Abishua	Uzzi	1
Abishur	Abihail	1
Abital	Eglah	1
Abital	Ithream	1
Abitub	Elpaal	1
Abiud	Eliakim	1
Abner	Amasa	2
Abner	Ammah	1
Abner	Asahel	2
Abner	Benjamin	1
Abner	David	4
Abner	Giah	1
Abner	Gibeon	3
Abner	Ishbosheth	3
Abner	Israel	3
Abner	Jether	1
Abner	Joab	4
Abner	Judah	1
Abner	Mahanaim	2
Abner	Ner	9
Abner	Saul	3
Abner	Zeruiah	1
Abram	Amorite	1
Abram	Aner	1
Abram	Canaan	2
Abram	Eshcol	1
Abram	Hagar	1
Abram	Haran	3
Abram	Iscah	1
Abram	Lot	7
Abram	Milcah	1
Abram	Nahor	3
Abram	Sarai	3
Absalom	Abigail	1
Absalom	Abijah	1
Absalom	Adonijah	1
Absalom	Ahimaaz	1
Absalom	Ahithophel	5
Absalom	Amasa	1
Absalom	Amnon	6
Absalom	Attai	1
Absalom	David	3
Absalom	Geshur	4
Absalom	Gilead	1
Absalom	Haggith	1
Absalom	Hushai	3
Absalom	Israel	4
Absalom	Jerusalem	3
Absalom	Joab	3
Absalom	Maachah	1
Absalom	Mark	1
Absalom	Nahash	1
Absalom	Talmai	3
Absalom	Tamar	1
Absalom	Ziza	1
Accho	Achzib	1
Accho	Ahlab	1
Accho	Helbah	1
Accho	Rehob	1
Accho	Zidon	1
Achan	Joshua	1
Achan	Judah	1
Achan	Zabdi	2
Achan	Zerah	3
Achbor	Gemariah	1
Achbor	Hadar	1
Achbor	Huldah	1
Achbor	Matred	1
Achbor	Mehetabel	1
Achbor	Michaiah	1
Achbor	Pau	1
Achbor	Shallum	1
Achbor	Tikvah	1
Achbor	Zedekiah	1
Achish	David	7
Achish	Gath	2
Achish	Maachah	1
Achish	Saul	1
Achish	Ziklag	1
Achzib	Helbah	1
Achzib	Israel	1
Achzib	Mareshah	1
Achzib	Rehob	1
Adah	Aholibamah	1
Adah	Anah	1
Adah	Bashemath	2
Adah	Eliphaz	1
Adah	Elon	1
Adah	Esau	2
Adah	Hittite	1
Adah	Jabal	1
Adah	Reuel	2
Adah	Zibeon	1
Adah	Zillah	2
Adaiah	Adiel	1
Adaiah	Amzi	1
Adaiah	Beraiah	1
Adaiah	Elishaphat	1
Adaiah	Jashub	1
Adaiah	Jeroham	2
Adaiah	Joiarib	1
Adaiah	Maasiai	1
Adaiah	Malchiah	1
Adaiah	Pashur	2
Adaiah	Pelaliah	1
Adaiah	Ramoth	1
Adaiah	Shimrath	1
Adaiah	Zechariah	1
Adaiah	Zichri	1
Adam	Abel	1
Adam	Cain	2
Adam	Christ	1
Adam	Eve	3
Adam	Moses	1
Adamah	Hazor	1
Adamah	Ramah	1
Adami	Jabneel	1
Adar	Darius	1
Adbeel	Mibsam	2
Addi	Cosam	1
Addi	Elmodam	1
Addon	Immer	1
Adiel	Benaiah	1
Adiel	Jesimiel	1
Adin	Ebed	1
Adin	Jonathan	1
Adithaim	Gederothaim	1
Admatha	Marsena	1
Admatha	Media	1
Admatha	Memucan	1
Admatha	Meres	1
Admatha	Persia	1
Admatha	Tarshish	1
Adna	Benaiah	1
Adna	Bezaleel	1
Adna	Binnui	1
Adna	Chelal	1
Adna	Helkai	1
Adna	Maaseiah	1
Adna	Manasseh	1
Adna	Mattaniah	1
Adna	Meraioth	1
Adnah	Elihu	1
Adnah	Jediael	1
Adnah	Jozabad	1
Adonijah	Abital	1
Adonijah	Adin	1
Adonijah	Bathsheba	1
Adonijah	Bigvai	1
Adonijah	David	1
Adonijah	Elishama	1
Adonijah	Haggith	5
Adonijah	Jehoram	1
Adonijah	Shephatiah	1
Adonijah	Solomon	2
Adoraim	Azekah	1
Adoraim	Lachish	1
Adoram	Jehoshaphat	1
Adrammelech	Anammelech	1
Adrammelech	Sharezer	2
Adramyttium	Aristarchus	1
Adramyttium	Asia	1
Adriel	Barzillai	1
Adullam	Azekah	2
Adullam	Beersheba	1
Adullam	Hinnom	1
Adullam	Israel	1
Adullam	Lachish	1
Adullam	Socoh	1
Adummim	Bohan	1
Aeneas	Jesus	1
Aenon	Salim	1
Agag	Amalek	1
Agag	Gilgal	1
Agar	Arabia	1
Agar	Sinai	1
Agrippa	Bernice	2
Agrippa	Festus	2
Agrippa	Paul	2
Agur	Ithiel	1
Agur	Ucal	1
Ahab	Ahaziah	3
Ahab	Baal	1
Ahab	Baasha	1
Ahab	Elijah	4
Ahab	Hazael	1
Ahab	Israel	15
Ahab	Jehoram	2
Ahab	Jehoshaphat	4
Ahab	Jehu	1
Ahab	Jeroboam	1
Ahab	Jezebel	1
Ahab	Judah	7
Ahab	Maaseiah	1
Ahab	Moab	1
Ahab	Naboth	3
Ahab	Nebat	1
Ahab	Obadiah	3
Ahab	Omri	2
Ahab	Samaria	6
Ahab	Zedekiah	1
Ahasbai	Ahithophel	1
Ahasbai	Eliam	1
Ahasuerus	Esther	3
Ahasuerus	Haman	2
Ahasuerus	Jerusalem	1
Ahasuerus	Jew	1
Ahasuerus	Judah	1
Ahasuerus	Mordecai	2
Ahasuerus	Pur	1
Ahasuerus	Vashti	1
Ahaz	Alemeth	2
Ahaz	Azmaveth	1
Ahaz	Damascus	2
Ahaz	David	1
Ahaz	Hezekiah	5
Ahaz	Israel	4
Ahaz	Jarah	1
Ahaz	Jehoadah	1
Ahaz	Jeroboam	1
Ahaz	Jerusalem	2
Ahaz	Joash	1
Ahaz	Jotham	2
Ahaz	Judah	7
Ahaz	Manasseh	1
Ahaz	Pekah	1
Ahaz	Remaliah	1
Ahaz	Rezin	1
Ahaz	Samaria	2
Ahaz	Uzziah	1
Ahaziah	Ahab	3
Ahaziah	Athaliah	2
Ahaziah	Gur	1
Ahaziah	Ibleam	1
Ahaziah	Israel	4
Ahaziah	Jehoahaz	1
Ahaziah	Jehoram	4
Ahaziah	Jehoshaphat	2
Ahaziah	Jehu	3
Ahaziah	Jerusalem	2
Ahaziah	Joash	1
Ahaziah	Joram	2
Ahaziah	Judah	10
Ahaziah	Megiddo	1
Ahaziah	Omri	2
Ahaziah	Samaria	2
Ahi	Abdiel	1
Ahi	Aram	1
Ahi	Guni	1
Ahi	Jehubbah	1
Ahi	Rohgah	1
Ahiah	Ahitub	1
Ahiah	Eli	1
Ahiah	Gera	1
Ahiah	Jehoshaphat	1
Ahiah	Phinehas	1
Ahiah	Shiloh	1
Ahiah	Shisha	1
Ahiam	Eliphal	1
Ahiam	Sacar	1
Ahiam	Sharar	1
Ahiam	Ur	1
Ahian	Shechem	1
Ahiezer	Ammishaddai	4
Ahiezer	Azmaveth	1
Ahiezer	Berachah	1
Ahiezer	Jehu	1
Ahiezer	Joash	1
Ahijah	Gibbethon	1
Ahijah	Hanan	1
Ahijah	Iddo	1
Ahijah	Israel	2
Ahijah	Issachar	1
Ahijah	Jeroboam	3
Ahijah	Nadab	1
Ahijah	Pelonite	1
Ahijah	Philistines	1
Ahijah	Tirzah	1
Ahikam	Abdon	1
Ahikam	Achbor	2
Ahikam	Asaiah	1
Ahikam	Babylon	2
Ahikam	Baruch	1
Ahikam	Huldah	1
Ahikam	Johanan	1
Ahikam	Judah	1
Ahikam	Micah	1
Ahikam	Michaiah	1
Ahikam	Mizpah	2
Ahikam	Neriah	1
Ahikam	Shallum	1
Ahikam	Tikvah	1
Ahilud	Megiddo	1
Ahilud	Taanach	1
Ahimaaz	Abiathar	1
Ahimaaz	Abner	1
Ahimaaz	Azariah	1
Ahimaaz	Joab	1
Ahimaaz	Johanan	1
Ahimaaz	Jonathan	1
Ahimaaz	Naphtali	1
Ahimaaz	Zadok	3
Ahiman	Anak	1
Ahiman	Sheshai	1
Ahiman	Talmai	3
Ahimelech	Abiathar	2
Ahimelech	Abishai	1
Ahimelech	Ahitub	2
Ahimelech	David	1
Ahimelech	Hittite	1
Ahimelech	Ithamar	1
Ahimelech	Joab	1
Ahimelech	Zeruiah	1
Ahinadab	Iddo	1
Ahinadab	Mahanaim	1
Ahinoam	Abigail	2
Ahinoam	Abner	1
Ahinoam	Ahimaaz	1
Ahinoam	Daniel	1
Ahinoam	Nabal	1
Ahio	Abi	1
Ahio	Mikloth	1
Ahio	Shashak	1
Ahio	Zechariah	1
Ahisamach	Dan	2
Ahithophel	Abiathar	1
Ahithophel	Absalom	3
Ahithophel	Benaiah	1
Ahithophel	Jehoiada	1
Ahithophel	Joab	1
Ahitub	Abiathar	1
Ahitub	Abimelech	1
Ahitub	Ahimaaz	1
Ahitub	Ahimelech	1
Ahitub	David	1
Ahitub	Eli	1
Ahitub	Phinehas	1
Ahitub	Shallum	1
Ahitub	Shiloh	1
Ahitub	Zadok	2
Ahlab	Achzib	1
Ahlab	Helbah	1
Ahlab	Rehob	1
Aholah	Aholibah	1
Aholah	Jerusalem	1
Aholah	Samaria	1
Aholiab	Ahisamach	3
Aholiab	Dan	2
Aholibah	Jerusalem	1
Aholibah	Samaria	1
Aholibamah	Anah	2
Aholibamah	Esau	1
Aholibamah	Jaalam	3
Aholibamah	Jeush	3
Aholibamah	Korah	3
Aholibamah	Pinon	1
Aholibamah	Zibeon	2
Ahumai	Lahad	1
Ahuzam	Hepher	1
Ai	Joshua	1
Aiah	Abner	1
Aiah	Adriel	1
Aiah	Anah	1
Aiah	Barzillai	1
Aiah	Ishbosheth	1
Aiah	Mephibosheth	1
Aiah	Michal	1
Aiah	Saul	1
Aiath	Migron	1
Ain	Ashan	1
Ain	Ether	1
Ain	Juttah	1
Ain	Remmon	1
Ain	Rimmon	2
Ain	Tochen	1
Ajalon	Gimzo	1
Ajalon	Jethlah	1
Ajalon	Timnah	1
Akkub	Anani	1
Akkub	Azariah	1
Akkub	Dalaiah	1
Akkub	Hanan	1
Akkub	Hatita	2
Akkub	Johanan	1
Akkub	Jozabad	1
Akkub	Maaseiah	1
Akkub	Pelaiah	1
Akkub	Shabbethai	1
Akkub	Shobai	2
Akrabbim	Zin	1
Alammelech	Amad	1
Alammelech	Misheal	1
Alemeth	Anathoth	1
Alemeth	Azmaveth	1
Alexander	Rufus	1
Alian	Aiah	1
Alian	Anah	1
Alian	Ebal	1
Alian	Onam	1
Alian	Shephi	1
Alian	Zibeon	1
Allon	Adami	1
Allon	Jabneel	1
Allon	Jedaiah	1
Allon	Shemaiah	1
Allon	Zaanannim	1
Almodad	Sheleph	2
Alvah	Jetheth	1
Amad	Misheal	1
Amalek	Aaron	1
