Root Name	Associated Name	Association Weight
Moses	Aaron	100
Judah	Jerusalem	73
Israel	Judah	67
Moses	Israel	47
Judah	Israel	46
David	Israel	38
Saul	David	37
Jerusalem	Judah	32
Isaac	Jacob	30
David	Saul	30
Jacob	Israel	26
Joshua	Israel	25
Joshua	Nun	23
Judah	Benjamin	23
Samuel	Saul	22
Jeroboam	Israel	22
Jeroboam	Nebat	22
Simon	Peter	22
Nebuchadnezzar	Babylon	22
Hezekiah	Judah	21
Saul	Jonathan	21
Asa	Judah	20
Jehoshaphat	Judah	20
Israel	David	20
Israel	Jerusalem	20
Israel	Moses	20
Solomon	Israel	19
Zedekiah	Judah	19
Reuben	Gad	18
Benaiah	Jehoiada	18
Moses	Pharaoh	17
James	John	16
Moses	Eleazar	16
Solomon	David	16
Jesus	Nazareth	16
David	Solomon	15
Peter	Jesus	15
Peter	John	15
Ahab	Israel	15
Jonathan	David	15
Amaziah	Judah	15
Jehoiakim	Judah	15
Shadrach	Meshach	14
Aaron	Moses	14
Gedaliah	Ahikam	14
Israel	Moab	13
Joash	Israel	13
Jesus	Galilee	13
Israel	Jehoshaphat	13
Caleb	Jephunneh	13
Paul	Jesus	13
Joab	Zeruiah	13
David	Joab	13
Ishmael	Nethaniah	13
Nadab	Abihu	12
Israel	Benjamin	12
Meshach	Abednego	12
Shadrach	Abednego	12
Philistines	Israel	12
Israel	Samaria	12
Balak	Balaam	12
Sihon	Heshbon	12
Jerusalem	Israel	11
Balaam	Balak	11
Aaron	Eleazar	11
Jehoshaphat	Israel	11
Eleazar	Ithamar	11
Ephraim	Manasseh	11
Asa	Israel	11
Gilead	Manasseh	11
Mary	Magdalene	11
Babylon	Judah	11
Israel	Dan	11
Joash	Judah	10
Judas	Iscariot	10
Isaiah	Amoz	10
Israel	Jacob	10
Og	Bashan	10
Johanan	Kareah	10
Ahaziah	Judah	10
David	Jerusalem	10
Jehoiakim	Josiah	10
Joseph	Manasseh	10
Solomon	Jerusalem	10
Jacob	Esau	10
Phinehas	Eleazar	9
Baasha	Israel	9
Zerubbabel	Shealtiel	9
Philistines	Saul	9
Eleazar	Aaron	9
Asa	Baasha	9
Babylon	Riblah	9
Pilate	Jesus	9
Saul	Israel	9
Abner	Ner	9
Moses	Joshua	9
Ephraim	Israel	9
Josiah	Judah	9
Judah	Babylon	9
Israel	Ephraim	9
Israel	Philistines	9
Hezekiah	Isaiah	9
Jehu	Israel	9
Gilead	Bashan	9
Pekah	Remaliah	9
Paul	Silas	9
Israel	Joseph	9
Aaron	Israel	9
Peter	James	9
Joram	Ahaziah	8
Jehoash	Israel	8
Machir	Manasseh	8
Manasseh	Ephraim	8
Jehoahaz	Israel	8
Sihon	Og	8
Zadok	Abiathar	8
Judah	David	8
Zedekiah	Babylon	8
Joab	David	8
Jerusalem	Babylon	8
Laban	Jacob	8
Joseph	Ephraim	8
Judah	Samaria	8
Moses	Sinai	8
David	Judah	8
Samuel	Israel	8
Moses	Moab	8
Nadab	Eleazar	8
Eliakim	Shebna	8
Aaron	Abihu	8
Gibeah	Benjamin	8
Gad	Manasseh	8
Balaam	Beor	8
Israel	Manasseh	8
Jacob	Rachel	8
Israel	Solomon	8
Pharaoh	Moses	8
Moab	Jericho	8
Hezekiah	Jerusalem	8
Israel	Aaron	8
Moab	Ammon	8
Zion	Jerusalem	8
Abihu	Eleazar	8
Aaron	Nadab	8
Gilead	Machir	7
Hiram	Solomon	7
Israel	Beersheba	7
Moab	Israel	7
Ishmael	Gedaliah	7
Israel	Reuben	7
