Root Name	Associated Name	Association Weight
Moses	Aaron	100
Judah	Jerusalem	73
Israel	Judah	67
Moses	Israel	47
Judah	Israel	46
David	Israel	38
Saul	David	37
Jerusalem	Judah	32
Isaac	Jacob	30
David	Saul	30
Jacob	Israel	26
Joshua	Israel	25
Joshua	Nun	23
Judah	Benjamin	23
Samuel	Saul	22
Jeroboam	Israel	22
Jeroboam	Nebat	22
Simon	Peter	22
Nebuchadnezzar	Babylon	22
Hezekiah	Judah	21
Saul	Jonathan	21
Asa	Judah	20
Jehoshaphat	Judah	20
Israel	David	20
Israel	Jerusalem	20
Israel	Moses	20
Solomon	Israel	19
Zedekiah	Judah	19
Reuben	Gad	18
Benaiah	Jehoiada	18
Moses	Pharaoh	17
James	John	16
Moses	Eleazar	16
Solomon	David	16
Jesus	Nazareth	16
David	Solomon	15
Peter	Jesus	15
Peter	John	15
Ahab	Israel	15
Jonathan	David	15
Amaziah	Judah	15
Jehoiakim	Judah	15
Shadrach	Meshach	14
Aaron	Moses	14
Gedaliah	Ahikam	14
Israel	Moab	13
Joash	Israel	13
Jesus	Galilee	13
Israel	Jehoshaphat	13
Caleb	Jephunneh	13
Paul	Jesus	13
Joab	Zeruiah	13
David	Joab	13
Ishmael	Nethaniah	13
Nadab	Abihu	12
Israel	Benjamin	12
Meshach	Abednego	12
Shadrach	Abednego	12
Philistines	Israel	12
Israel	Samaria	12
Balak	Balaam	12
Sihon	Heshbon	12
Jerusalem	Israel	11
Balaam	Balak	11
Aaron	Eleazar	11
Jehoshaphat	Israel	11
Eleazar	Ithamar	11
Ephraim	Manasseh	11
Asa	Israel	11
Gilead	Manasseh	11
Aaron	Abihu	8
Aaron	Benjamin	1
Aaron	David	1
Aaron	Elisabeth	1
Aaron	Elisheba	1
Aaron	Hor	3
Aaron	Hur	3
Aaron	Ithamar	6
Aaron	Judah	2
Aaron	Miriam	4
Aaron	Naashon	1
Aaron	Nadab	8
Aaron	On	1
Aaron	Pharaoh	7
Aaron	Phinehas	1
Aaron	Simeon	1
Aaron	Sinai	1
Aaron	Zadok	1
David	Aaron	1
David	Abiathar	4
David	Abigail	3
David	Abihail	1
David	Abijah	1
David	Abishai	6
David	Abner	5
David	Absalom	4
David	Achish	5
David	Adullam	1
David	Ahaz	2
David	Ahaziah	1
